u_id,u_name,v_id,v_name,count
Z_51305_STOP,Z_51305_STOP,Z_51279_STOP,Z_51279_STOP,20
Z_51279_STOP,Z_51279_STOP,Z_51358_STOP,Z_51358_STOP,18
Z_51358_STOP,Z_51358_STOP,Z_51355_STOP,Z_51355_STOP,16
Z_51355_STOP,Z_51355_STOP,Z_51465_STOP,Z_51465_STOP,16
Z_51465_STOP,Z_51465_STOP,Z_51352_STOP,Z_51352_STOP,15
Z_51352_STOP,Z_51352_STOP,Z_51349_STOP,Z_51349_STOP,14
Z_51349_STOP,Z_51349_STOP,Z_51346_STOP,Z_51346_STOP,13
Z_51346_STOP,Z_51346_STOP,Z_53144_STOP,Z_53144_STOP,12
Z_53144_STOP,Z_53144_STOP,Z_52358_STOP,Z_52358_STOP,12
Z_52358_STOP,Z_52358_STOP,Z_52734_STOP,Z_52734_STOP,12
Z_52734_STOP,Z_52734_STOP,Z_52421_STOP,Z_52421_STOP,12
Z_52421_STOP,Z_52421_STOP,Z_52268_STOP,Z_52268_STOP,12
Z_52268_STOP,Z_52268_STOP,Z_52267_STOP,Z_52267_STOP,12
Z_52267_STOP,Z_52267_STOP,Z_52925_STOP,Z_52925_STOP,12
Z_52925_STOP,Z_52925_STOP,Z_52309_STOP,Z_52309_STOP,11
Z_52309_STOP,Z_52309_STOP,Z_52639_STOP,Z_52639_STOP,11
Z_52639_STOP,Z_52639_STOP,Z_53720_STOP,Z_53720_STOP,11
Z_53720_STOP,Z_53720_STOP,Z_53719_STOP,Z_53719_STOP,5
Z_53719_STOP,Z_53719_STOP,Z_54430_STOP,Z_54430_STOP,5
Z_54430_STOP,Z_54430_STOP,Z_54406_STOP,Z_54406_STOP,4
Z_54406_STOP,Z_54406_STOP,Z_54401_STOP,Z_54401_STOP,3
Z_54401_STOP,Z_54401_STOP,Z_53715_STOP,Z_53715_STOP,3
Z_53715_STOP,Z_53715_STOP,Z_53755_STOP,Z_53755_STOP,2
Z_53755_STOP,Z_53755_STOP,Z_53758_STOP,Z_53758_STOP,2
Z_53758_STOP,Z_53758_STOP,Z_54647_STOP,Z_54647_STOP,1
Z_54647_STOP,Z_54647_STOP,Z_54645_STOP,Z_54645_STOP,1
Z_54645_STOP,Z_54645_STOP,Z_54319_STOP,Z_54319_STOP,1
Z_54319_STOP,Z_54319_STOP,Z_54632_STOP,Z_54632_STOP,1
Z_51195_STOP,Z_51195_STOP,Z_52068_STOP,Z_52068_STOP,20
Z_52068_STOP,Z_52068_STOP,Z_51344_STOP,Z_51344_STOP,18
Z_51344_STOP,Z_51344_STOP,Z_51261_STOP,Z_51261_STOP,18
Z_51261_STOP,Z_51261_STOP,Z_51342_STOP,Z_51342_STOP,18
Z_51342_STOP,Z_51342_STOP,Z_51259_STOP,Z_51259_STOP,16
Z_51259_STOP,Z_51259_STOP,Z_51081_STOP,Z_51081_STOP,16
Z_51081_STOP,Z_51081_STOP,Z_52530_STOP,Z_52530_STOP,15
Z_52530_STOP,Z_52530_STOP,Z_51069_STOP,Z_51069_STOP,9
Z_51069_STOP,Z_51069_STOP,Z_51178_STOP,Z_51178_STOP,9
Z_51178_STOP,Z_51178_STOP,Z_54722_STOP,Z_54722_STOP,9
Z_54722_STOP,Z_54722_STOP,Z_54455_STOP,Z_54455_STOP,9
Z_54455_STOP,Z_54455_STOP,Z_54687_STOP,Z_54687_STOP,9
Z_54687_STOP,Z_54687_STOP,Z_54301_STOP,Z_54301_STOP,7
Z_54301_STOP,Z_54301_STOP,Z_54292_STOP,Z_54292_STOP,6
Z_54292_STOP,Z_54292_STOP,Z_54288_STOP,Z_54288_STOP,6
Z_54288_STOP,Z_54288_STOP,Z_54304_STOP,Z_54304_STOP,6
Z_54304_STOP,Z_54304_STOP,Z_54684_STOP,Z_54684_STOP,6
Z_54684_STOP,Z_54684_STOP,Z_55845_STOP,Z_55845_STOP,5
Z_55845_STOP,Z_55845_STOP,Z_55846_STOP,Z_55846_STOP,1
Z_51863_STOP,Z_51863_STOP,Z_51862_STOP,Z_51862_STOP,20
Z_51862_STOP,Z_51862_STOP,Z_51837_STOP,Z_51837_STOP,20
Z_51837_STOP,Z_51837_STOP,Z_52151_STOP,Z_52151_STOP,18
Z_52151_STOP,Z_52151_STOP,Z_51089_STOP,Z_51089_STOP,18
Z_51089_STOP,Z_51089_STOP,Z_51118_STOP,Z_51118_STOP,16
Z_51118_STOP,Z_51118_STOP,Z_52303_STOP,Z_52303_STOP,16
Z_52303_STOP,Z_52303_STOP,Z_52532_STOP,Z_52532_STOP,8
Z_52532_STOP,Z_52532_STOP,Z_52262_STOP,Z_52262_STOP,6
Z_52262_STOP,Z_52262_STOP,Z_53007_STOP,Z_53007_STOP,6
Z_53007_STOP,Z_53007_STOP,Z_52263_STOP,Z_52263_STOP,6
Z_52263_STOP,Z_52263_STOP,Z_52313_STOP,Z_52313_STOP,4
