pid,origin_id,origin_name,dest_id,dest_name,path,travel_time
5,Z_51305_STOP,Z_51305_STOP,Z_54632_STOP,Z_54632_STOP,Z_51305_STOP -> Z_51279_STOP -> Z_51358_STOP -> Z_51355_STOP -> Z_51465_STOP -> Z_51352_STOP -> Z_51349_STOP -> Z_51346_STOP -> Z_53144_STOP -> Z_52358_STOP -> Z_52734_STOP -> Z_52421_STOP -> Z_52268_STOP -> Z_52267_STOP -> Z_52925_STOP -> Z_52309_STOP -> Z_52639_STOP -> Z_53720_STOP -> Z_53719_STOP -> Z_54430_STOP -> Z_54406_STOP -> Z_54401_STOP -> Z_53715_STOP -> Z_53755_STOP -> Z_53758_STOP -> Z_54647_STOP -> Z_54645_STOP -> Z_54319_STOP -> Z_54632_STOP,56
39,Z_51195_STOP,Z_51195_STOP,Z_54513_STOP,Z_54513_STOP,Z_51195_STOP -> Z_52068_STOP -> Z_51344_STOP -> Z_51261_STOP -> Z_51342_STOP -> Z_51259_STOP -> Z_51081_STOP -> Z_52530_STOP -> Z_51069_STOP -> Z_51178_STOP -> Z_54722_STOP -> Z_54455_STOP -> Z_54687_STOP -> Z_54301_STOP -> Z_54292_STOP -> Z_54288_STOP -> Z_54304_STOP -> Z_54684_STOP -> Z_55845_STOP -> Z_55846_STOP -> Z_54662_STOP -> Z_54663_STOP -> Z_55111_STOP -> Z_54664_STOP -> Z_55004_STOP -> Z_54682_STOP -> Z_55003_STOP -> Z_54671_STOP -> Z_54673_STOP -> Z_55114_STOP -> Z_54527_STOP -> Z_54513_STOP,inf
25,Z_51195_STOP,Z_51195_STOP,Z_54513_STOP,Z_54513_STOP,Z_51195_STOP -> Z_52068_STOP -> Z_51344_STOP -> Z_51261_STOP -> Z_51342_STOP -> Z_51259_STOP -> Z_51081_STOP -> Z_52530_STOP -> Z_51069_STOP -> Z_51178_STOP -> Z_54722_STOP -> Z_54455_STOP -> Z_54687_STOP -> Z_54301_STOP -> Z_54292_STOP -> Z_54288_STOP -> Z_54304_STOP -> Z_54684_STOP -> Z_55845_STOP -> Z_55846_STOP -> Z_54662_STOP -> Z_54663_STOP -> Z_55111_STOP -> Z_54664_STOP -> Z_55004_STOP -> Z_54682_STOP -> Z_55003_STOP -> Z_54671_STOP -> Z_54673_STOP -> Z_55114_STOP -> Z_54527_STOP -> Z_54513_STOP,inf
37,Z_51195_STOP,Z_51195_STOP,Z_54513_STOP,Z_54513_STOP,Z_51195_STOP -> Z_52068_STOP -> Z_51344_STOP -> Z_51261_STOP -> Z_51342_STOP -> Z_51259_STOP -> Z_51081_STOP -> Z_52530_STOP -> Z_51069_STOP -> Z_51178_STOP -> Z_54722_STOP -> Z_54455_STOP -> Z_54687_STOP -> Z_54301_STOP -> Z_54292_STOP -> Z_54288_STOP -> Z_54304_STOP -> Z_54684_STOP -> Z_55845_STOP -> Z_55846_STOP -> Z_54662_STOP -> Z_54663_STOP -> Z_55111_STOP -> Z_54664_STOP -> Z_55004_STOP -> Z_54682_STOP -> Z_55003_STOP -> Z_54671_STOP -> Z_54673_STOP -> Z_55114_STOP -> Z_54527_STOP -> Z_54513_STOP,inf
46,Z_51863_STOP,Z_51863_STOP,Z_52313_STOP,Z_52313_STOP,Z_51863_STOP -> Z_51862_STOP -> Z_51837_STOP -> Z_52151_STOP -> Z_51089_STOP -> Z_51118_STOP -> Z_52303_STOP -> Z_52532_STOP -> Z_52262_STOP -> Z_53007_STOP -> Z_52263_STOP -> Z_52313_STOP,41
21,Z_51195_STOP,Z_51195_STOP,Z_54513_STOP,Z_54513_STOP,Z_51195_STOP -> Z_52068_STOP -> Z_51344_STOP -> Z_51261_STOP -> Z_51342_STOP -> Z_51259_STOP -> Z_51081_STOP -> Z_52530_STOP -> Z_51069_STOP -> Z_51178_STOP -> Z_54722_STOP -> Z_54455_STOP -> Z_54687_STOP -> Z_54301_STOP -> Z_54292_STOP -> Z_54288_STOP -> Z_54304_STOP -> Z_54684_STOP -> Z_55845_STOP -> Z_55846_STOP -> Z_54662_STOP -> Z_54663_STOP -> Z_55111_STOP -> Z_54664_STOP -> Z_55004_STOP -> Z_54682_STOP -> Z_55003_STOP -> Z_54671_STOP -> Z_54673_STOP -> Z_55114_STOP -> Z_54527_STOP -> Z_54513_STOP,inf
23,Z_51195_STOP,Z_51195_STOP,Z_54513_STOP,Z_54513_STOP,Z_51195_STOP -> Z_52068_STOP -> Z_51344_STOP -> Z_51261_STOP -> Z_51342_STOP -> Z_51259_STOP -> Z_51081_STOP -> Z_52530_STOP -> Z_51069_STOP -> Z_51178_STOP -> Z_54722_STOP -> Z_54455_STOP -> Z_54687_STOP -> Z_54301_STOP -> Z_54292_STOP -> Z_54288_STOP -> Z_54304_STOP -> Z_54684_STOP -> Z_55845_STOP -> Z_55846_STOP -> Z_54662_STOP -> Z_54663_STOP -> Z_55111_STOP -> Z_54664_STOP -> Z_55004_STOP -> Z_54682_STOP -> Z_55003_STOP -> Z_54671_STOP -> Z_54673_STOP -> Z_55114_STOP -> Z_54527_STOP -> Z_54513_STOP,inf
35,Z_51195_STOP,Z_51195_STOP,Z_54513_STOP,Z_54513_STOP,Z_51195_STOP -> Z_52068_STOP -> Z_51344_STOP -> Z_51261_STOP -> Z_51342_STOP -> Z_51259_STOP -> Z_51081_STOP -> Z_52530_STOP -> Z_51069_STOP -> Z_51178_STOP -> Z_54722_STOP -> Z_54455_STOP -> Z_54687_STOP -> Z_54301_STOP -> Z_54292_STOP -> Z_54288_STOP -> Z_54304_STOP -> Z_54684_STOP -> Z_55845_STOP -> Z_55846_STOP -> Z_54662_STOP -> Z_54663_STOP -> Z_55111_STOP -> Z_54664_STOP -> Z_55004_STOP -> Z_54682_STOP -> Z_55003_STOP -> Z_54671_STOP -> Z_54673_STOP -> Z_55114_STOP -> Z_54527_STOP -> Z_54513_STOP,inf
19,Z_51305_STOP,Z_51305_STOP,Z_54632_STOP,Z_54632_STOP,Z_51305_STOP -> Z_51279_STOP -> Z_51358_STOP -> Z_51355_STOP -> Z_51465_STOP -> Z_51352_STOP -> Z_51349_STOP -> Z_51346_STOP -> Z_53144_STOP -> Z_52358_STOP -> Z_52734_STOP -> Z_52421_STOP -> Z_52268_STOP -> Z_52267_STOP -> Z_52925_STOP -> Z_52309_STOP -> Z_52639_STOP -> Z_53720_STOP -> Z_53719_STOP -> Z_54430_STOP -> Z_54406_STOP -> Z_54401_STOP -> Z_53715_STOP -> Z_53755_STOP -> Z_53758_STOP -> Z_54647_STOP -> Z_54645_STOP -> Z_54319_STOP -> Z_54632_STOP,inf
53,Z_51863_STOP,Z_51863_STOP,Z_52313_STOP,Z_52313_STOP,Z_51863_STOP -> Z_51862_STOP -> Z_51837_STOP -> Z_52151_STOP -> Z_51089_STOP -> Z_51118_STOP -> Z_52303_STOP -> Z_52532_STOP -> Z_52262_STOP -> Z_53007_STOP -> Z_52263_STOP -> Z_52313_STOP,41
